concept,amount,date,category,mode
groceries,11.88,08/01/21,food,credit
restaurant,29.55,08/01/21,recreation,credit
groceries,118.8,08/02/21,food,credit
farmers market,5.13,08/03/21,food,credit
bike maintenance,177.53,08/05/21,transportation,credit
restaurant,25.01,08/06/21,recreation,credit
restaurant,91.63,08/09/21,recreation,credit
parking,1.1,08/07/21,transportation,credit
groceries,52.85,08/10/21,food,credit
groceries,12.47,08/14/21,food,credit
restaurant,18.93,08/15/21,recreation,credit
restaurant,17.25,08/15/21,recreation,credit
retailer,77.24,08/15/21,personal,credit
groceries,65.08,08/16/21,food,credit
restaurant,55.85,08/18/21,recreation,credit
groceries,18.58,08/18/21,food,credit
retailer,171.99,08/20/21,personal,credit
restaurant,90.06,08/20/21,recreation,credit
groceries,73.05,08/23/21,food,credit
groceries,15.7,08/23/21,food,credit
groceries,77.55,08/24/21,food,credit
restaurant,88.32,08/24/21,housing,credit
groceries,20.41,08/24/21,food,credit
groceries,53.86,08/25/21,food,credit
groceries,9.28,08/27/21,food,credit
groceries,181.12,08/31/21,food,credit
restaurant,100.27,08/27/21,personal,credit
rent,1710.95,09/04/21,housing,debit
internet,62.2,09/02/21,utilities,credit
streaming,9.9,09/04/21,housing,credit
cell phone,60.38,09/13/21,utilities,credit
life insurance,69.78,09/11/21,insurance,debit
life insurance,95,09/04/21,insurance,debit
home insurance,20.34,09/18/21,insurance,credit
subscription,24.99,09/04/21,healthcare,credit
energy,48.11,09/30/21,utilities,credit
groceries,28.93,09/03/21,food,credit
retailer,35.5,09/04/21,housing,credit
groceries,54.88,09/05/21,food,credit
groceries,17.13,09/05/21,food,credit
retailer,142.89,09/06/21,personal,credit
trip expenses,329.81,09/07/21,vacation,credit
groceries,71,09/08/21,food,credit
mail,15.5,09/09/21,personal,credit
groceries,176.24,09/11/21,food,credit
restaurant,37.08,09/12/21,recreation,credit
restaurant,34.17,09/12/21,recreation,credit
groceries,10.98,09/12/21,food,credit
groceries,22.94,09/14/21,food,credit
retailer,126.79,09/16/21,personal,credit
groceries,9.43,09/17/21,food,credit
restaurant,13.63,09/18/21,recreation,credit
retailer,47.36,09/19/21,housing,credit
groceries,91.07,09/19/21,food,credit
retailer,8.49,09/23/21,personal,credit
groceries,169.9,09/24/21,food,credit
retailer,218.4,09/27/21,personal,credit
retailer,25,09/27/21,gifts,credit
groceries,8.05,09/27/21,food,credit
retailer,48.6,09/28/21,personal,credit
retailer,22.04,09/28/21,housing,credit
groceries,10,09/28/21,food,credit
trip expenses,29,09/28/21,vacation,credit
groceries,4.58,09/29/21,food,credit
rent,1710.95,10/04/21,housing,debit
internet,62.2,10/02/21,utilities,credit
streaming,9.99,10/04/21,housing,credit
cell phone,61.12,10/13/21,utilities,credit
life insurance,69.78,10/11/21,insurance,debit
life insurance,95,10/04/21,insurance,debit
home insurance,20.34,10/18/21,insurance,credit
subscription,24.99,10/04/21,healthcare,credit
energy,34.19,10/29/21,utilities,debit
groceries,8.45,10/02/21,food,credit
groceries,244.8,10/02/21,housing,credit
retailer,46.28,10/02/21,personal,credit
groceries,24.15,10/03/21,food,credit
trip expenses,452,10/04/21,vacation,credit
retailer,8.99,10/04/21,personal,credit
groceries,102.99,10/04/21,food,credit
retailer,16.01,10/05/21,personal,credit
groceries,24.49,10/05/21,food,credit
restaurant,8,10/06/21,recreation,credit
groceries,106.06,10/09/21,food,credit
retailer,127.13,10/10/21,housing,credit
trip expenses,405.43,10/10/21,vacation,credit
cash transfer,225,10/14/21,housing,debit
groceries,29.28,10/18/21,food,credit
groceries,160.35,10/23/21,food,credit
groceries,37.41,10/29/21,food,credit
groceries,42.02,10/29/21,food,credit
groceries,129.39,10/30/21,food,credit
rent,1710.95,11/04/21,housing,debit
internet,62.2,11/02/21,utilities,credit
streaming,9.99,11/04/21,housing,credit
cell phone,75.23,11/13/21,utilities,credit
life insurance,69.78,11/11/21,insurance,debit
life insurance,95,11/04/21,insurance,debit
home insurance,20.34,11/18/21,insurance,credit
subscription,24.99,11/04/21,healthcare,credit
energy,45.27,11/29/21,utilities,debit
groceries,32.19,11/01/21,food,credit
groceries,9.28,11/03/21,food,credit
groceries,48.83,11/06/21,food,credit
groceries,103.58,11/07/21,food,credit
restaurant,71.87,11/06/21,recreation,credit
restaurant,158.41,11/07/21,recreation,credit
retailer,9.3,11/08/21,personal,credit
restaurant,28.59,11/05/21,recreation,credit
services,100,11/05/21,personal,credit
groceries,33.06,11/06/21,food,credit
retailer,16.54,11/08/21,personal,credit
retailer,356.22,11/08/21,housing,credit
retailer,25,11/08/21,personal,credit
groceries,141.91,11/13/21,food,credit
retailer,149.94,11/14/21,personal,credit
retailer,217,11/15/21,personal,credit
retailer,11.01,11/16/21,personal,credit
retailer,23.43,11/16/21,personal,credit
retailer,90.38,11/18/21,personal,credit
pharmacy,33.64,11/19/21,healthcare,credit
retailer,132.9,11/19/21,gifts,credit
retailer,130.2,11/22/21,gifts,credit
retailer,220.49,11/22/21,personal,credit
groceries,37.58,11/22/21,food,credit
farmers market,30,11/24/21,food,credit
farmers market,14,11/24/21,food,credit
farmers market,37.94,11/26/21,food,credit
retailer,54.4,11/27/21,personal,credit
pharmacy,52.43,11/29/21,healthcare,credit
groceries,174.59,11/29/21,food,credit
car maintenance,32.53,11/30/21,transportation,credit
retailer,71.67,11/30/21,gifts,credit
retailer,40.42,11/30/21,personal,credit
parking,2,11/30/21,transportation,credit
rent,1710.95,12/04/21,housing,debit
internet,62.74,12/02/21,utilities,credit
streaming,9.99,12/04/21,housing,credit
cell phone,47.74,12/13/21,utilities,credit
life insurance,69.78,12/11/21,insurance,debit
life insurance,95,12/04/21,insurance,debit
home insurance,20.34,12/18/21,insurance,credit
subscription,24.99,12/04/21,healthcare,credit
energy,75.94,12/29/21,utilities,debit
retailer,11.02,12/01/21,housing,credit
groceries,22.38,12/01/21,food,credit
groceries,24.45,12/01/21,food,credit
restaurant,6.04,12/01/21,recreation,credit
restaurant,17.96,12/01/21,recreation,credit
restaurant,62.92,12/04/21,recreation,credit
restaurant,41.84,12/02/21,recreation,credit
restaurant,68.47,12/02/21,recreation,credit
retailer,54.4,12/03/21,recreation,credit
trip expenses,46.76,12/04/21,vacation,credit
cash withdrawal,428.57,12/04/21,food,debit
retailer,880.25,12/07/21,housing,credit
groceries,238.10,12/08/21,food,credit
groceries,104.67,12/08/21,food,credit
groceries,63.43,12/08/21,food,credit
retailer,1684,12/13/21,housing,debit
groceries,57.00,12/20/21,food,credit
groceries,219.87,12/21/21,food,credit
retailer,1461,12/21/21,housing,debit
restaurant,65.53,12/30/21,recreation,credit
rent,1710.95,01/03/22,housing,debit
internet,62.74,01/02/22,utilities,credit
streaming,9.99,01/04/22,housing,credit
cell phone,66.76,01/13/22,utilities,credit
life insurance,69.78,01/11/22,insurance,debit
life insurance,95,01/04/22,insurance,debit
home insurance,20.34,01/18/22,insurance,credit
subscription,24.99,01/04/22,healthcare,credit
energy,45.25,01/29/22,utilities,debit
retailer,113.1,01/11/22,housing,credit
retailer,19.99,01/08/22,personal,credit
car insurance,478.8,01/09/22,insurance,credit
groceries,58.96,01/26/22,food,credit
retailer,182.57,01/23/22,personal,credit
trip expenses,527.32,01/29/22,vacation,credit
rent,1710.95,02/03/22,housing,debit
internet,61.88,02/02/22,utilities,credit
streaming,9.99,02/04/22,housing,credit
cell phone,57.18,02/13/22,utilities,credit
life insurance,69.78,02/11/22,insurance,debit
life insurance,95,02/04/22,insurance,debit
home insurance,20.26,02/18/22,insurance,credit
subscription,24.99,02/04/22,healthcare,credit
energy,37.21,02/18/22,utilities,debit
groceries,194.52,02/03/22,food,credit
pharmacy,121.1,02/01/22,healthcare,credit
restaurant,14,02/03/22,recreation,credit
groceries,67.32,02/03/22,food,credit
trip expenses,200,02/04/22,vacation,credit
restaurant,50.36,02/05/22,recreation,credit
groceries,98.45,02/06/22,food,credit
restaurant,38.31,02/06/22,recreation,credit
groceries,105.84,02/12/22,food,credit
groceries,36.52,02/13/22,recreation,credit
restaurant,15.47,02/15/22,recreation,credit
groceries,53.03,02/16/22,food,credit
restaurant,22.8,02/17/22,recreation,credit
groceries,178.42,02/19/22,food,credit
entertainment,60,02/20/22,recreation,credit
restaurant,18.18,02/22/22,recreation,credit
groceries,21.71,02/23/22,food,credit
groceries,34.25,02/23/22,food,credit
groceries,12.07,02/24/22,food,credit
groceries,24.22,02/26/22,food,credit
groceries,172.71,02/26/22,food,credit
retailer,195.47,02/27/22,personal,credit
restaurant,6.04,02/27/22,recreation,credit
retailer,196.25,02/28/22,personal,credit
cash transfer,90,02/28/22,personal,debit
entertainment,156.9,02/28/22,recreation,credit
rent,1710.95,03/02/22,housing,debit
internet,61.88,03/02/22,utilities,credit
streaming,9.99,03/04/22,housing,credit
cell phone,48.13,03/13/22,utilities,credit
life insurance,69.78,03/11/22,insurance,debit
life insurance,95,03/04/22,insurance,debit
home insurance,20.26,03/18/22,insurance,credit
subscription,24.99,03/04/22,healthcare,credit
energy,68.72,03/18/22,utilities,debit
restaurant,75.61,03/01/22,recreation,credit
trip expenses,387.42,03/02/22,vacation,credit
restaurant,7.06,03/03/22,recreation,credit
restaurant,69.45,03/03/22,recreation,credit
retailer,37.68,03/03/22,personal,credit
groceries,95.47,03/05/22,food,credit
groceries,102.93,03/05/22,food,credit
trip expenses,30.36,03/14/22,vacation,credit
retailer,38.23,03/16/22,gifts,credit
trip expenses,19.73,03/16/22,vacation,credit
trip expenses,144.48,03/17/22,vacation,credit
trip expenses,22.11,03/17/22,vacation,credit
groceries,118.62,03/19/22,food,credit
restaurant,6.6,03/20/22,recreation,credit
groceries,23.12,03/22/22,food,credit
trip expenses,269.46,03/22/22,vacation,credit
trip expenses,22.7,03/22/22,vacation,credit
groceries,15.84,03/23/22,food,credit
groceries,37.07,03/24/22,food,credit
restaurant,94.17,03/24/22,recreation,credit
restaurant,47.62,03/25/22,recreation,credit
restaurant,55,03/26/22,recreation,credit
trip expenses,443.2,03/30/22,vacation,credit
trip expenses,536.1,03/31/22,vacation,credit
trip expenses,523.1,03/31/22,vacation,credit
rent,1710.95,04/02/22,housing,debit
internet,72.44,04/02/22,utilities,credit
streaming,9.99,04/04/22,housing,credit
cell phone,52.16,04/13/22,transportation,credit
life insurance,69.78,04/11/22,insurance,debit
life insurance,95,04/04/22,insurance,debit
home insurance,20.26,04/18/22,insurance,credit
subscription,24.99,04/04/22,healthcare,credit
groceries,29.6,04/01/22,food,credit
groceries,35.14,04/01/22,food,credit
restaurant,36,04/01/22,food,credit
restaurant,54.71,04/01/22,food,credit
restaurant,9.05,04/01/22,recreation,credit
groceries,77.72,04/02/22,food,credit
groceries,88.17,04/02/22,gifts,credit
groceries,22.06,04/03/22,food,credit
retailer,214.98,04/03/22,housing,credit
groceries,17.67,04/05/22,food,credit
restaurant,20.7,04/05/22,recreation,credit
retailer,130.17,04/06/22,recreation,credit
groceries,251.82,04/09/22,food,credit
restaurant,14.75,04/12/22,recreation,credit
services,40,04/14/22,personal,credit
groceries,114.52,04/16/22,food,credit
retailer,23.4,04/17/22,gifts,credit
retailer,16.81,04/18/22,gifts,credit
trip expenses,983.92,04/23/22,vacation,credit
groceries,76.92,04/23/22,food,credit
retailer,8.88,04/25/22,housing,credit
retailer,12.99,04/25/22,personal,credit
retailer,220.49,04/27/22,personal,credit
trip expenses,288.77,04/28/22,vacation,credit
rent,1710.95,05/02/22,housing,debit
internet,72.12,05/02/22,utilities,credit
streaming,9.99,05/04/22,housing,credit
cell phone,54.55,05/13/22,utilities,credit
life insurance,69.78,05/11/22,insurance,debit
life insurance,95,05/04/22,insurance,debit
home insurance,20.26,05/18/22,insurance,credit
subscription,24.99,05/04/22,healthcare,credit
energy,21.21,05/18/22,utilities,debit
trip expenses,210.28,05/01/22,vacation,credit
retailer,50.7,05/04/22,gifts,credit
retailer,21.31,05/04/22,gifts,credit
groceries,41.77,05/04/22,food,credit
groceries,25.6,05/05/22,food,credit
groceries,11,05/06/22,food,credit
parking permit,66,05/06/22,transportation,credit
groceries,178.48,05/07/22,food,credit
retailer,48.82,05/07/22,gifts,credit
retailer,237,05/07/22,gifts,credit
retailer,50.7,05/07/22,personal,credit
restaurant,23.7,05/08/22,recreation,credit
trip expenses,402.86,05/12/22,vacation,credit
groceries,58.95,05/13/22,food,credit
groceries,17.48,05/13/22,food,credit
groceries,84.33,05/13/22,food,credit
groceries,13.47,05/17/22,food,credit
public transit,25,05/17/22,transportation,credit
retailer,33.05,05/18/22,food,credit
groceries,30.28,05/20/22,food,credit
retailer,141.84,05/20/22,personal,credit
car maintenance,20,05/20/22,transportation,credit
car registration,167.44,05/20/22,transportation,credit
cash transfer,35,05/20/22,gifts,debit
trip expenses,436.79,05/22/22,vacation,credit
groceries,147.25,05/25/22,food,credit
trip expenses,284.7,05/25/22,vacation,credit
retailer,51.6,05/26/22,personal,credit
services,45,05/26/22,personal,credit
retailer,9.85,05/30/22,personal,credit
cash transfer,64.67,05/31/22,gifts,debit
trip expenses,754,05/31/22,vacation,credit
rent,1710.95,06/02/22,housing,debit
internet,72.31,06/02/22,utilities,credit
streaming,9.99,06/04/22,housing,credit
cell phone,62.17,06/14/22,utilities,credit
life insurance,69.78,06/11/22,insurance,debit
life insurance,95,06/04/22,insurance,debit
home insurance,20.26,06/18/22,insurance,credit
subscription,24.99,06/04/22,healthcare,credit
energy,57.57,06/28/22,utilities,debit
retailer,50.46,06/01/22,gifts,credit
groceries,104.95,06/01/22,food,credit
retailer,134.39,06/03/22,gifts,credit
services,570,06/06/22,personal,credit
cash transfer,12.6,06/04/22,personal,debit
retailer,201.02,06/13/22,personal,credit
retailer,65.18,06/14/22,personal,credit
restaurant,46.07,06/14/22,recreation,credit
retailer,315.63,06/14/22,personal,credit
groceries,21.84,06/14/22,food,credit
public transit,10,06/15/22,transportation,credit
restaurant,30.49,06/16/22,recreation,credit
restaurant,19.03,06/19/22,recreation,credit
retailer,101.11,06/17/22,personal,credit
retailer,16.78,06/18/22,personal,credit
retailer,218.76,06/20/22,housing,credit
retailer,39.66,06/22/22,housing,credit
cash transfer,33,06/23/22,gifts,debit
trip expenses,782.16,06/23/22,vacation,credit
public transit,10,06/25/22,transportation,credit
restaurant,36.91,06/25/22,recreation,credit
restaurant,27.7,06/25/22,recreation,credit
public transit,10,06/26/22,transportation,credit
cash transfer,85,06/28/22,personal,debit
public transit,7.78,06/28/22,transportation,credit
farmers market,1056,06/29/22,food,credit
groceries,61.87,06/29/22,food,credit
groceries,66.01,06/30/22,food,credit
rent,1710.95,07/02/22,housing,debit
internet,72.31,07/02/22,utilities,credit
streaming,9.99,07/04/22,housing,credit
cell phone,66.35,07/14/22,utilities,credit
life insurance,69.78,07/11/22,insurance,debit
life insurance,95,07/04/22,insurance,debit
home insurance,20.26,07/18/22,insurance,credit
subscription,24.99,07/04/22,healthcare,credit
energy,52.3,07/28/22,utilities,debit
tolls,25,07/07/22,transportation,credit
trip expenses,152.57,07/04/22,vacation,credit
groceries,156.09,07/13/22,food,credit
car maintenance,80.51,07/13/22,transportation,credit
retailer,14.87,07/13/22,personal,credit
retailer,61.72,07/15/22,personal,credit
groceries,11.2,07/15/22,food,credit
retailer,34.63,07/16/22,personal,credit
retailer,113.25,07/17/22,personal,credit
retailer,9.99,07/17/22,gifts,credit
retailer,292,07/17/22,personal,credit
retailer,26.35,07/18/22,housing,credit
retailer,18.73,07/19/22,personal,credit
retailer,30.08,07/19/22,personal,credit
retailer,46.31,07/19/22,personal,credit
groceries,119.46,07/23/22,food,credit
retailer,46.31,07/23/22,personal,credit
trip expenses,691.65,07/23/22,vacation,credit
retailer,38.72,07/26/22,transportation,credit
retailer,28.64,07/26/22,gifts,credit
groceries,21.16,07/28/22,food,credit
rent,1710.95,08/02/22,housing,debit
internet,74.2,08/02/22,utilities,credit
streaming,9.99,08/04/22,housing,credit
cell phone,81.31,08/14/22,utilities,credit
life insurance,69.78,08/11/22,insurance,debit
life insurance,95,08/04/22,insurance,debit
home insurance,20.26,08/18/22,insurance,credit
subscription,24.99,08/04/22,healthcare,credit
energy,46.99,08/26/22,utilities,debit
tolls,25,08/07/22,transportation,credit
retailer,41.04,08/01/22,personal,credit
public transit,20,08/02/22,transportation,credit
groceries,55.79,08/02/22,food,credit
trip expenses,155.22,08/02/22,vacation,credit
cash transfer,81,08/04/22,personal,debit
retailer,55.86,08/05/22,personal,credit
restaurant,69.98,08/05/22,recreation,credit
restaurant,36.48,08/05/22,recreation,credit
restaurant,37.11,08/06/22,recreation,credit
groceries,27.1,08/08/22,food,credit
retailer,6.72,08/08/22,personal,credit
restaurant,81.56,08/08/22,recreation,credit
retailer,176.73,08/08/22,personal,credit
retailer,135.6,08/09/22,personal,credit
retailer,71.86,08/11/22,personal,credit
trip expenses,451.28,08/11/22,vacation,credit
groceries,225.85,08/15/22,food,credit
retailer,125.98,08/19/22,personal,credit
public transit,10,08/23/22,transportation,credit
tolls,25,08/23/22,transportation,credit
groceries,122.88,08/23/22,food,credit
rent,1710.95,09/02/22,housing,debit
internet,74.2,09/02/22,utilities,credit
streaming,9.99,09/04/22,housing,credit
life insurance,69.78,09/11/22,insurance,debit
life insurance,95,09/04/22,insurance,debit
home insurance,20.26,09/18/22,insurance,credit
subscription,24.99,09/04/22,healthcare,credit
energy,50.85,09/28/22,utilities,debit
groceries,108.79,09/01/22,food,credit
groceries,157.07,09/10/22,food,credit
groceries,6.99,09/12/22,food,credit
retailer,33.05,09/11/22,housing,credit
groceries,84.27,09/17/22,food,credit
public transit,10.00,09/26/22,transportation,credit
restaurant,57.51,09/26/22,recreation,credit
groceries,20.16,09/27/22,food,credit
rent,1710.95,10/02/22,housing,debit
internet,73.8,10/02/22,utilities,credit
streaming,9.99,10/04/22,housing,credit
cell phone,56.33,10/14/22,utilities,credit
life insurance,69.78,10/11/22,insurance,debit
life insurance,95,10/04/22,insurance,debit
home insurance,20.26,10/18/22,insurance,credit
subscription,24.99,10/04/22,healthcare,credit
energy,25.89,10/27/22,utilities,debit
groceries,168.28,10/01/22,food,credit
retailer,3.98,10/02/22,gifts,credit
public transit,10,10/04/22,transportation,credit
groceries,20.96,10/05/22,food,credit
public transit,8.01,10/06/22,transportation,credit
public transit,10,10/06/22,transportation,credit
restaurant,5.24,10/07/22,recreation,credit
restaurant,9.25,10/07/22,recreation,credit
public transit,10,10/07/22,transportation,credit
restaurant,19.13,10/11/22,recreation,credit
groceries,24.4,10/11/22,food,credit
retailer,91.76,10/12/22,housing,credit
trip expenses,57.86,10/12/22,food,credit
groceries,134.8,10/15/22,food,credit
retailer,19.82,10/15/22,housing,credit
cash transfer,500,10/21/22,vacation,debit
groceries,116.58,10/22/22,food,credit
public transit,10,10/24/22,transportation,credit
farmers market,40.5,10/25/22,food,credit
retailer,0.99,10/25/22,gifts,credit
public transit,10,10/26/22,transportation,credit
retailer,138.92,10/26/22,personal,credit
retailer,27.18,10/27/22,gifts,credit
groceries,286.17,10/29/22,food,credit
groceries,13.01,10/29/22,food,credit
parking,4.35,10/30/22,transportation,credit
retailer,13,10/30/22,personal,credit
rent,1710.95,11/02/22,housing,debit
internet,73.8,11/02/22,utilities,credit
streaming,9.99,11/04/22,housing,credit
cell phone,93.9,11/14/22,utilities,credit
life insurance,69.78,11/11/22,insurance,debit
life insurance,95,11/04/22,insurance,debit
home insurance,20.26,11/18/22,insurance,credit
subscription,24.99,11/04/22,healthcare,credit
energy,52.24,11/27/22,utilities,debit
public transit,3.79,11/03/22,transportation,credit
public transit,20,11/03/22,transportation,credit
restaurant,6.19,11/03/22,recreation,credit
groceries,24.68,11/03/22,food,credit
retailer,41.4,11/03/22,healthcare,credit
retailer,48,11/03/22,personal,credit
retailer,229.8,11/03/22,housing,credit
groceries,72.37,11/05/22,food,credit
fitness,53.33,11/06/22,healthcare,credit
retailer,22.49,11/06/22,personal,credit
retailer,33.08,11/10/22,transportation,credit
groceries,26.72,11/10/22,food,credit
retailer,90.25,11/11/22,food,credit
groceries,48.51,11/11/22,personal,credit
restaurant,134.39,11/11/22,recreation,credit
retailer,30.8,11/12/22,personal,credit
restaurant,15.62,11/14/22,recreation,credit
groceries,30.99,11/15/22,food,credit
public transit,10,11/17/22,transportation,credit
retailer,342.4,11/17/22,utilities,credit
retailer,24.6,11/17/22,utilities,credit
groceries,19.49,11/18/22,food,credit
groceries,18.66,11/18/22,food,credit
retailer,47.37,11/18/22,personal,credit
gas station,58.4,11/18/22,transportation,credit
cash transfer,107,11/19/22,food,debit
groceries,135.44,11/19/22,food,credit
retailer,24.24,11/23/22,healthcare,credit
retailer,36.36,11/25/22,personal,credit
retailer,11.03,11/25/22,personal,credit
retailer,206.25,11/26/22,personal,credit
retailer,8.99,11/27/22,gifts,credit
retailer,65.6,11/26/22,personal,credit
retailer,42.87,11/28/22,personal,credit
retailer,33.06,11/29/22,personal,credit
retailer,131.49,11/29/22,personal,credit
rent,1710.95,12/02/22,housing,debit
internet,73.8,12/02/22,utilities,credit
streaming,9.99,12/04/22,housing,credit
cell phone,79,12/14/22,utilities,credit
life insurance,69.78,12/11/22,insurance,debit
life insurance,95,12/04/22,insurance,debit
home insurance,20.26,12/18/22,insurance,credit
subscription,24.99,12/04/22,healthcare,credit
fitness,64,12/01/22,healthcare,credit
energy,108.87,12/27/22,utilities,debit
retailer,5.99,12/03/22,gifts,credit
parking,2.35,12/03/22,transportation,credit
restaurant,45,12/03/22,recreation,credit
retailer,83.79,12/03/22,personal,credit
restaurant,18.93,12/05/22,recreation,credit
retailer,0.99,12/06/22,gifts,credit
retailer,41.5,12/08/22,gifts,credit
retailer,181.88,12/14/22,gifts,credit
restaurant,21.28,12/14/22,recreation,credit
trip expenses,1180,12/17/22,vacation,credit
retailer,113.53,12/27/22,gifts,credit
tolls,25,12/30/22,transportation,credit